ID,Package Name,Type,On Network Calls Base Rate,On Network Calls Tax,PTCL Calls Base Rate,PTCL Calls Tax,FNF Calls Base Rate,FNF Calls Tax,Off Network Calls Base Rate,Off Network Calls Tax,Off Network Calls 2nd Pulse,Off Network SMS Base Rate,Off Network SMS Tax,Off Network SMS 2nd Pulse,On Network SMS Base Rate,On Network SMS Tax,On Network SMS 2nd Pulse,International SMS Base Rate,International SMS Tax,International SMS 2nd Pulse,MMS 50KB,Data MB,Total Incentives Minutes,PTCL Incentives Minutes,FNF Incentives Minutes,On Network Incentives Minutes,Off Network Incentives Minutes,2G/3G Incentives Minutes,Local Network SMS,SMS Line Rental,NWD Security Deposit,ISD Security Deposit,IR Security Deposit,Notes,Remarks,FNF Numbers,FNF Base Rate,FNF Tax,FNF 2nd Pulse,Calls Pulse Rate,Setup Calls Charges,GPRS MB,Daily Charges,Importance Level,Subscription Code,Work Code,Offers,Data Offers,IDD Offers
13,M400,Postpaid,Rs.2.2+tax/min,,Rs.2.2+tax/min,,Rs.0.75/min,Rs. 0.90/min,Rs.2.2+tax/min,,,Rs. 1.60/SMS,,,Rs. 0.75+tax/SMS,,,Rs5,Rs. 5.98/sms,,,Rs.2+tax/MB,450,,,,,1.5 GB,,Rs0.25,Rs0.12,Rs. 1500,5000,,,,,,,,,,,,,"<table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 400  Base  Default  Activation</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 400  Base  Default  Information</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 400  Base  Default  Complaints  Incentive Issue</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 400  Base  Default  Complaints  General</span></span></span></td> 		</tr> 	</tbody> </table> ",,,
14,M600,Postpaid,Rs. 1.50,1.79/min,Rs. 1.50,1.79/min,Rs. 0.75,0.90/min,Rs. 1.50,1.79/min,,Rs. 1.50,,,Rs. 0.75,0.90/min,,Rs. 5.00,Rs. 5.98/sms,,,Rs. 2,1000,,400,300,300,1024 MB,300 SMS,Rs. 25,Rs. 1500,Rs. 1500,5000,"<table cellpadding=""5"" cellspacing=""5""> 	<tbody> 		<tr> 			<td>M600Line Rent:Rs 600,Free FNF Min 400,Free OnNet min 300,Free OffNet min 300,Free Local SMS 300,Free data 1GB.Outgoing OnNet &amp; OffNet Rs.1.50/min, FNF Rs.0.75min and Rs0.75/SMS.Taxes Apply</td> 		</tr> 	</tbody> </table> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">M 600  Base  Default  Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">M 600  Base  Default  Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 	</tbody> </table> ",,,
15,J600,Postpaid,Rs.2.2/min + tax,,Rs.2.2/min + tax,,Rs.0.75,Rs. 0.90,Rs.2.2/min + tax,,,,Rs. 0.90,,Rs.0.75,Rs. 0.90,,5.98/SMS,5.98/SMS,,Rs0.60,Rs0.20,2300,na,na,2000,300,"3GBs+2GBs(Social,WA,FB)",2000 SMS,N/A,"1,500",1500,5000,"<p>OnNet minutes are useable for calls to Warid Network as well<br /> J600 Price plan customers now have 2,000 SMS as package incentive<br /> Free minutes and FnF Min will not available during IR<br /> Packages are recursive in charging (monthly) and proratable<br /> No CPP charges will be applied on these packages<br /> GPRS rates would be the Rs.18/MB with 64KB minimum charging unit<br /> Package is available to consumer catalogue only &amp; not business<br /> If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages<br /> An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day<br /> If an FnF number ports out, the FnF discount will no longer apply to calls made to it</p>  <p>&nbsp;</p>  <p><span style=""fontsize:11pt""><span style=""fontfamily:Calibri,sansserif""><strong>Offer Mechanics:</strong></span></span></p>  <ul> 	<li><span style=""fontsize:11pt""><span style=""fontfamily:Calibri,sansserif"">Applicable on all existing Consumer Postpaid subscribers [Jazz &amp; Warid], New SIM Sales, Pre to Post Conversions, and PortIns</span></span></li> 	<li><span style=""fontsize:11pt""><span style=""fontfamily:Calibri,sansserif"">All other mechanics of the PricePlan remain the same</span></span></li> </ul> ",,,,,,,,,,,,"<p><strong><span style=""fontsize:11.0pt""><span style=""fontfamily:&quot;Calibri&quot;,sansserif"">&nbsp;J 600  Base  Default  Information</span></span></strong></p> ",,,
16,M100,Postpaid,Rs.2.2/min + tax,,Rs.2.2/min + tax,,Rs. 0.75,0.90/min,Rs.2.2/min + tax,,,1.91/sms,,,Rs. 0.75,0.90/sms,,5.98/SMS,0.98,,Rs0.60,Rs0.20,125,Na,Na,Na,Na,500 MBs,Rs. 1.60,25,1200,1200,5000,<p>Package is not available for new subscriptions</p> ,,,,,,,,,,,,"<table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 100  Base  Default  Activation</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 100  Base  Default  Information</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 100  Base  Default  Complaints  Incentive Issue</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:38px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">M 100  Base  Default  Complaints  Wrong/Over Charging</span></span></span></td> 		</tr> 	</tbody> </table> ",,,
17,J999,Postpaid,Rs.2.2/min + tax,,Rs.2.2/min + tax,,Rs.0.75,0.90/min,Rs.2.2/min + tax,,,0.90/min,NA,,Rs.0.75,0.90/min,,Rs.5+tax,5.98,,Rs0.60,Rs.2+tax/MB,5500,NA,NA,5000,500,"5GB+5GBs (Social,WA,FB)",5000 SMS,NA,1500,1500,5000,"<ul> 	<li>OnNet minutes are useable for calls to Warid Network as well</li> 	<li>Difference in old M packages &amp; new J packages is unlimited onnet minutes, rest of the details are same</li> 	<li>Free minutes and FnF Min will not available during IR</li> 	<li>Packages are recursive in charging (monthly) and proratable</li> 	<li>No CPP charges will be applied on these packages</li> 	<li>GPRS rates would be the Rs.2/MB with 64KB minimum charging unit</li> 	<li>Package is available to consumer catalogue only &amp; not business</li> 	<li>If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages</li> 	<li>An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day</li> 	<li>If an FnF number ports out, the FnF discount will no longer apply to calls made to it</li> 	<li>Tax on all postpaid packages are added on total amount</li> </ul> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:559px""> 	<tbody> 		<tr> 			<td>J 999  Base  Default  Activation</td> 		</tr> 		<tr> 			<td>J 999  Base  Default  Information</td> 		</tr> 		<tr> 			<td>J 999  Base  Default  Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td>J 999  Base  Default  Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>J 999  Base  Default  Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
18,J1500,Postpaid,Rs.2.2+tax/min,,Rs.2.2+tax/min,,Rs.0.75/min,0.90/min,Rs.2.2+tax/min,,,0.90/SMS,NA,,Rs. 0.75,0.90/SMS,,Rs. 5/ SMS,5.98,,Rs0.60,Rs.2+Tax,7500,NA,Na,"7,000 Minutes and SMS",500,"7GBs+7GBs (Social,WA ,FB)",7000 SMS,N/A,2500,2500,5000,"<p><strong>&bull;&nbsp;&nbsp; &nbsp;25% discount on line rent will be offered to new subs (Port In, Pre to Post, New Sale) for three months&nbsp;</strong><br /> &bull;&nbsp;&nbsp; &nbsp;Duration of promo is at discretion of Jazz and can be changed as required<br /> &bull;&nbsp;&nbsp; &nbsp;Offer is for individual customers only<br /> &bull;&nbsp;&nbsp; &nbsp;Standard taxes apply on rates shown above<br /> &bull;&nbsp;&nbsp; &nbsp;F&amp;F call rates apply for 3 FnF numbers only<br /> &bull;&nbsp;&nbsp; &nbsp;Sales via BVS, CYN and via favorites will be applicable for discount<br /> &bull;&nbsp;&nbsp; &nbsp;Conventional sale will not be applicable for discount&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;Taxes will be apply as per provisional tax slabs</p> ",,,,,,,,,,,,"<table cellspacing=""0"" style=""bordercollapse:collapse; width:696px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:1px solid black; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap; width:695px""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">J 1500  Base  Default  Complaints  Incentive Issue</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">J 1500  Base  Default  Complaints  Wrong/Over Charging</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">J 1500  Base  Default  Complaints  General</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">J 1500  Base  Default  Activation</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">J 1500  Base  Default  Information</span></span></span></td> 		</tr> 	</tbody> </table> ",,,
19,Ex Employee FNF,Postpaid,Rs. 0.75/Min,,Rs 1.50/Min,,Rs. 0.75/Min,,Rs 1.50/Min,,,Rs 1.50/Min,Rs 1.50/Min,,Rs 0.10/SMS,,,Rs. 5.00,Rs. 5.00,,Rs. 6.50,25GB,Total 500 (OnNet + OffNet),0,0,Total 500 (OnNet + OffNet),Total 500 (OnNet + OffNet),25GB,6000,0,0,0,5000,<p>MPTY &amp; MCA will be charged as per standard rate ie Rs 50 + Tax/Month<br /> All other VAS will be Charged as per Standard Charges</p> ,,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Activation</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Information</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
19,Ex Employee FNF,Postpaid,Rs. 0.75/Min,,Rs 1.50/Min,,Rs. 0.75/Min,,Rs 1.50/Min,,,Rs 1.50/Min,Rs 1.50/Min,,Rs 0.10/SMS,,,Rs. 5.00,Rs. 5.00,,Rs. 6.50,25GB,Total 500 (OnNet + OffNet),0,0,Total 500 (OnNet + OffNet),Total 500 (OnNet + OffNet),25GB,6000 SMS,0,0,0,5000,<p>MPTY &amp; MCA will be charged as per standard rate ie Rs 50 + Tax/Month<br /> All other VAS will be Charged as per Standard Charges</p> ,,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Activation</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Information</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Ex PMCL FnF  Base  Default  Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
20,Dealer Package,Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,1.25/Min,1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,1.25/Min,1.25/Min,,Rs. 1.51+tax,Rs. 1.51+tax,,0.10/SMS,0.10/SMS,,0,0,,Rs. 6.50+tax,50GB,0,0,0,0,0,50GB,6000,0,0,0,5000,"<p>Other Charges:<br /> MPTY = Rs 50/,<br /> MCA = Rs 50 /,<br /> MY Status= Rs 15/,<br /> ICS = Rs 20 /,<br /> Mobitunes= Rs 45/<br /> 10GB/Rs 500 add on can be activated for exact 30 days<br /> Base rate is 0.1/MB<br /> Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</p> ",,,,,,,,,,,,<p>Postpaid Package/ Incentive Info</p> ,,,
21,Official Special,Postpaid,Rs 0.5/Min,Rs 0.5/Min,Rs 1.25/Min,Rs 1.25/Min,Rs 0.5/Min,Rs 0.5/Min,Rs 1.25/Min,Rs 1.25/Min,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs. 5.00,Rs. 5.00,,Rs. 6.50,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,"<p>Package: Official Special Onnet: 0.50/min Offnet:1.25/min SMS :6000 SMS free and then 0.1/SMS Data: 25GB<br /> Other Charges:<br /> 10GB/Rs 500 add on can be activated for exact 30 days<br /> Base rate is 0.1/MB<br /> MPTY = Rs 50/,<br /> MCA = Rs 50 /,<br /> MY Status= Rs 15/,<br /> ICS = Rs 20 /,<br /> Mobitunes= Rs 45/<br /> Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</p> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official Special  Base  Default  Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 	</tbody> </table> ",,,
22,Official,Postpaid,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs 0.10/SMS,Rs 0.10/SMS,,0,0,,Rs. 6.50,50GB,0,0,0,0,0,50GB,6000,0,0,0,5000,"<p>MPTY = Free,<br /> MCA = Free,<br /> MY Status= Rs 15/,<br /> ICS = Rs 20 /,<br /> Mobitunes= Rs 45/<br /> Overage of PKR 0/ MB ( 512 KB pulse)</p> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official  Base  Default  Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official  Base  Default  Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
23,Employee,Postpaid,Rs. 0.75/Min,,Rs 1.50/Min,,Rs. 0.75/Min,,Rs 1.50/Min,,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs 0.10/SMS,,,Rs. 3.00,,,0,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,"<p> 10GB @Rs 500+tax AddOn can be activated for exact 30 days via JW / USSD *9872# /&nbsp;CRM</p>  <p> Customer will be shifted to PAYG rate on auto once data incentive is consumed, hence, data will not be blocked</p>  <p> Base rate is 0.1/MB<br />  Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM<br />  <strong>MPTY &amp; MCA are not FOC and will be charged as per standard rates</strong></p> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:653px""> 	<tbody> 		<tr> 			<td>Employee  Base  Default  Activation</td> 		</tr> 		<tr> 			<td>Employee  Base  Default  Information</td> 		</tr> 		<tr> 			<td>Employee  Base  Default  Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td>Employee  Base  Default  Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td>Employee  Base  Default  Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
24,Official for Testing,Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs 0.10/SMS,Rs 0.10/SMS,,0,0,,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,0,0,5000,<p>MPTY &amp; MCA are FOC</p> ,,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing  Base  Default  Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Official for Testing  Base  Default  Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 	</tbody> </table> ",,,
25,ExOfficial Package (ExPMCL),Postpaid,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs 0.10/SMS,Rs 0.10/SMS,,Rs. 5.00,Rs. 5.00,,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,1000,1000,5000,"<ul> 	<li>Base rate is 0.10/MB</li> 	<li>Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM</li> 	<li><strong>MCA &amp; MPTY will not be free and it will be charged as per standard rates</strong></li> 	<li>Other VAS and Invoice details will be charged (where applicable).</li> 	<li>Data blocking menu (Flash message) is not pushed to XPMCL subscribers on consumption of Free data.</li> 	<li>We need to guide exemployees about data capping of 25GB and base rate of Rs.0.10/MB after free data consumption.Postpaid Package/ Incentive Info</li> 	<li>Ex PMCL package user gets all bolt on packages as normal postpaid customer can get</li> 	<li><span style=""fontsize:11pt""><span style=""fontfamily:Calibri,sansserif""><span style=""color:#1f497d"">Now<strong> minimum deposit of Rs 1,000 will be required for official to Ex PMCL package conversion</strong> and credit limit will be set as per deposit amount .</span></span></span></li> </ul> ",,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL  Base  Default  Information</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL  Base  Default  Activation</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Ex PMCL  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Postpaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
26,Retailer Package,Prepaid,Rs. 0.68+tax,Rs. 0.68+tax,,,,,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs 1.5+tax,Rs.10.00+tax,Rs.11.95,Rs. 5.00+tax,Rs. 6+tax,,,,,,,,,,,,,,,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,Rs. 0.68+tax,60 sec,10 paisa + tax,Rs 18+tax,0,<p>Rs. 3.69/hour will be charged on Onnet numbers from 12 AM  9 AM<br /> Prepaid Package Info</p> ,0,<p>Prepaid Package Info</p> ,,,
27,MBusiness,Postpaid,Rs. 1/minute,Rs. 1/minute,Rs 1.50/Min,Rs 1.50/Min,Rs. 1/minute,Rs. 1/minute,Rs 1.50/Min,Rs 1.50/Min,,Rs 1.5+tax,Rs 1.5+tax,,Rs. 0.20,Rs. 0.20,,Rs. 5.00+tax,Rs. 5.00+tax,,Rs 5+tax,0,100,0,0,60,40,0,0,0,1200,1500,5000,<p>Monthly 5% discount on bill amounts of Rs.1000 and greater</p> ,,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:530px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 		</tr> 		<tr> 			<td dir=""LTR"">M Business  Base  Default  Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">M Business  Base  Default  Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
28,MUnlimited Basic,Postpaid,Rs. 0.3+tax,Rs. 0.3+tax,Rs 1.55+tax,Rs 1.55+tax,Rs. 0.3+tax,Rs. 0.3+tax,Rs 1.55+tax,Rs 1.55+tax,,Rs 1.05+tax,Rs 1.05+tax,,Rs. 0.20+tax,Rs. 0.20+tax,,Rs. 5.00+tax,Rs. 5.00+tax,,Rs 0.6+tax,0,5000,1000,0,2800,1200,,1000 On Net Only,Rs 25+tax,5000,5000,5000,<p>N/A</p> ,,,,,,,,,,,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:530px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 		</tr> 		<tr> 			<td dir=""LTR"">M Unlimited Basic  Base  Default  Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">M Unlimited Basic  Base  Default  Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">M Unlimited Basic  Base  Default  Complaints  Wrong/Over Charging</td> 		</tr> 	</tbody> </table> ",,,
