DataOffers ID,DataOffer Name,Incentive,Charges,DataOffer Category,Validity,Time Window,Subscription Code,DataOffer Detail,DataOffer Description
21,Free Multan 4G Social Promo,"4GB for WhatsApp/Facebook on 4G , 100MB for 2G/3G",Rs52,Prepaid,X + 29 days,N/A,*499#,"<p>Offer Mechanics:<br /> Following are the offer mechanics:<br /> &bull;&nbsp;&nbsp; &nbsp;Promo is valid for Multan only. List of sites are attached for reference&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;Promo is available for one time use only for both new 4G users and existing 4G users&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;This offer can be subscribed through subscription string *499#&nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;Upon dialing *499#, customer will be subscribed to Multan 4G Social Offer for exact 30 calendar days, offer will expire on midnight of 30th calendar day (including subscription day)<br /> &bull;&nbsp;&nbsp; &nbsp;FUP of 4GB applies and are usable on 4G network only<br /> &bull;&nbsp;&nbsp; &nbsp;To avoid getting charged during fall back additional 100 MBs are reserved for WhatsApp and Facebook on 3G/2G<br /> &bull;&nbsp;&nbsp; &nbsp;Offer is subject to change anytime<br /> &bull;&nbsp;&nbsp; &nbsp;Terms and Conditions apply<br /> 4000 MBs for WhatsApp and Facebook on 4G Only</p> ",We are pleased to introduce Multan 4G Social  Offer for a limited time to promote the availability of 4G  in Multan city. It provides 4GB on 4G and 100 MB on 3G/2G
22,1 gb add on,1GB,200 +Tax,Postpaid,30Days,24 Hrs,1,"<pre> orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,</pre> ",1
23,99 paisa offer,300 MB (2G/3G/4G),99 paisa,Prepaid,1 days,N/A,*1301#,"<p>Terms and Conditions:<br /> &bull;&nbsp;&nbsp; &nbsp;Overage of Re. 1/MB applies for all mobile internet bundles<br /> &bull;&nbsp;&nbsp; &nbsp;Internet offer can be subscribed and consumed in 2G/3G/4G networks areas<br /> &bull;&nbsp;&nbsp; &nbsp;To check remaining MB&rsquo;s and validity, dial bundle status String (FOC)<br /> &bull;&nbsp;&nbsp; &nbsp;Bundles will not auto-subscribe and need to be subscribed again upon expiry<br /> &bull;&nbsp;&nbsp; &nbsp;Bundle can be subscribed only once in 24 hours<br /> &bull;&nbsp;&nbsp; &nbsp;Maximum number of subscriptions are 30 in customer&rsquo;s lifetime until and unless it is made available for the customer again<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any bundle base rate will be charged i.e. Rs. 3.6/ MB. Charging pulse will be 512 KB<br /> &nbsp;</p> ",Maximum number of subscriptions are 30 in customer’s lifetime until and unless it is made available for the customer again
25,LBC TAXILA,5000MBs + 500 Onnet Mins + 50 Offnet,Rs.173 (Incl Tax),Prepaid,7 days,24 hours,*596#,"<ul> 	<li>Offer has been converted to LBS Model&nbsp;</li> 	<li>Offer can be subscribed&nbsp;in whitelisted areas only, however, incentives may be used nationwide</li> 	<li>Data allowance can be used on both 2G/3G/4G network subject to handset and network coverage.</li> 	<li>Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable</li> 	<li>Call setup charges are PKR 0&nbsp;</li> </ul>  <p>Taxila LAC IDs<br /> 2G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;10231<br /> 2G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;20230<br /> 2G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;10232<br /> 2G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;231<br /> 3G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;1260<br /> 3G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;1449<br /> 3G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;1861<br /> 4G&nbsp;&nbsp; &nbsp;TXL&nbsp;&nbsp; &nbsp;12601</p> ","- "
29,MBB North LBC - *117*65#,70GB,Rs 1565.21  incl Tax,Prepaid,30 Days,24 hrs,*117*65#,"<ul> 	<li>Offer is available for Service Class 62 &amp; 18 only</li> 	<li>User can subscribe/unsubscribe to MBB LBC offer through:</li> 	<li>Jazz WiFi app: connect to device WiFi and dial USSD</li> 	<li>Device Portal: connect to device WiFi, go to http://jazz.wifi/ or http://192.168.1.1 via browser, and dial USSD</li> 	<li>Customer can recharge, check usage and manage regular bundle subscriptions by using MBB Menu *6363#</li> 	<li>Offer can be subscribed from anywhere, however incentive is valid in selected areas only; detailed site list for incentive validity is attached</li> 	<li>Data allowance can be used on both 2G/3G/4G network subject to broadband device and network coverage</li> 	<li>Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable</li> </ul> ",MBB LBC offer has been extended to Haripur and Mardan as well. Sites are listed in details field
33,Monthly Supreme *117*32#,"25GB, 3000 On-Net,3000 SMS, 500 Off-Net",Rs 1304 (Incl Tax),Prepaid,30 Days,24 HRS,*117*32#,"<ul> 	<li>Multiple subscriptions are allowed.</li> 	<li>New incentive will be added and validity considered will be of last subscription</li> 	<li>Overage not applicable on data sim</li> </ul>  <p><strong>Customer can avail this bundle from our self-service channels i.e., *444# Dial Code.</strong></p> ",Monthly Supreme *117*32#
38,Daily YouTube Offer,1.5GB(Youtube + Facebook + Whatsapp),Rs. 27 (Incl. Tax),Prepaid,24 Hrs,24 HRS,"*968# / *114*5# ","<ul> 	<li>&nbsp; &nbsp; &nbsp; <strong>&nbsp;Offer Mechanics</strong> 	<ul> 		<li>This offer can be subscribed and consumed in 2G/3G/4G networks areas</li> 		<li>To check remaining MB&rsquo;s and validity, dial bundle status code for Rs. 0.06</li> 		<li>Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc</li> 		<li>If you are not subscribed to any bundle base rate will be charged i.e. Rs.5/MB. Charging pulse will be 512 KB</li> 		<li>Multiple subscription is allowed, incentive will be add up and expiry will be as per latest</li> 	</ul> 	</li> </ul>  <table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:1335px""> 	<tbody> 		<tr> 			<td> 			<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, 111 IVR, 3111 Self-Service IVR, *444# Dial Code.</p> 			</td> 		</tr> 	</tbody> </table> ","As part of our vision to provide our customers with the best products and services, we are pleased to announce the launch of Daily YouTube bundle!"
39,Data Sim New Sale Offer - Free Social Bundle,Facebook & WhatsApp (FUP 4GB),Rs 0,Prepaid,"30 Days ",24 HRS,BVS Sale Only,"<ul> 	<li> 	<ul> 		<li>Customer will be auto-subscribed to this offer at the time of new BVS sale</li> 		<li>Subscriber will get 4GB which will be available for use for only Whatsapp and Facebook</li> 		<li>For any other internet usage, customer would need to subscribe data bundles</li> 		<li>It will be a once-off offer, and multiple subscriptions of same will not be possible</li> 		<li>No PYG or Overage rate will be applicable after bundle consumption</li> 		<li>Subscriber will get maximum speed based on Best efforts in 2G+3G+4G network</li> 		<li>Existing Data SIM customers will be able to consume remaining quota from 500MB for 10days</li> 		<li>This offer is only for Data SIM customers (SC18), and not available to MBB or other prepaid customers</li> 		<li>This offer is available to all Tariff Plans are implemented for AJK &amp; Rest of Pakistan</li> 	</ul> 	</li> </ul> ","Offer to be given to customers on Data SIM New Sale "
50,Jazz Balance Saver Offer,-,FOC,Prepaid,30 Days,-,*275#,"<p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif"">On dialing the string *275#, subscriber&rsquo;s PayG and Overage usage will be disabled, saving him/her from unintended out of bundle deduction of balance. The service is available to all prepaid tariff users nationwide.PayG/Overage is disable for the subscriber</span></span></p>  <p>&nbsp;</p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Terms &amp; Conditions:</span></span></p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">&bull;&nbsp;&nbsp; &nbsp;Offer will be Automatically re-subscribed after every 30 days unless the consumer chooses to unsubscribe</span></span></p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">&bull;&nbsp;&nbsp; &nbsp;Offer is available for all Prepaid subscribers</span></span></p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">&bull;&nbsp;&nbsp; &nbsp;Offer is also available for subscription through CSR TB with product name&ldquo; Balance Saver&rdquo;</span></span></p>  <p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">&bull;&nbsp;&nbsp; &nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">In case of any balance deduction complaint customer need to be facilitated via Adjustment complaint as per existing process after complete system consultation</span></span></span></span></p> ",The service is aimed at reducing accidental balance deduction of consumers on expiry/usage of bundle data incentive
54,HEC Weekly Bundle,10GB + 10GB,150,Prepaid,7 Days,See Offer Details,*635#,"<p>Incentive:&nbsp;</p>  <p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif"">10GB all internet access (8AM&ndash; 6PM)<br /> 10GB access to HEC Whitelisted websites (24 hrs.)</span></span></p>  <p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif"">1&nbsp;&nbsp; &nbsp;https://hec.gov.pk/english/pages/home.aspx<br /> 2&nbsp;&nbsp; &nbsp;http://npm.hec.gov.pk/<br /> 3&nbsp;&nbsp; &nbsp;http://103.4.92.7/<br /> 4&nbsp;&nbsp; &nbsp;http://pern.edu.pk/<br /> 5&nbsp;&nbsp; &nbsp;http://pu.edu.pk/<br /> 6&nbsp;&nbsp; &nbsp;https://lums.edu.pk/<br /> 7&nbsp;&nbsp; &nbsp;http://www.pieas.edu.pk/<br /> 8&nbsp;&nbsp; &nbsp;http://nust.edu.pk/<br /> 9&nbsp;&nbsp; &nbsp;https://www.neduet.edu.pk/<br /> 10&nbsp;&nbsp; &nbsp;https://salu.edu.pk/ &nbsp;<br /> 11&nbsp;&nbsp; &nbsp;https://szabist.edu.pk/<br /> 12&nbsp;&nbsp; &nbsp;https://numl.edu.pk/<br /> 13&nbsp;&nbsp; &nbsp;https://iub.edu.pk/<br /> 14&nbsp;&nbsp; &nbsp;https://eportal.hec.gov.pk/<br /> 15&nbsp;&nbsp; &nbsp;https://edutv.hec.gov.pk/</span></span></p>  <p>&bull;&nbsp;&nbsp; &nbsp;Offer can only be subscribed if the HEC Taleem Parent offer is already subscribed<br /> &bull;&nbsp;&nbsp; &nbsp;Product subscription will be done through USSD String</p> ",10GB all internet access (8AM– 6PM) 10GB access to HEC Whitelisted websites (24 hrs.)
55,HEC Monthly Bundle 1,20GB + 20GB,Rs.600 Incl Tax,Prepaid,30 Days,See Offer Details,*636#,"<p>Incentive:</p>  <p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif"">20GB all internet access (10 GB 2AM- 2PM)<br /> 20GB access to HEC Whitelisted websites (24 hours)</span></span></p>  <p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif"">1&nbsp;&nbsp; &nbsp;https://hec.gov.pk/english/pages/home.aspx<br /> 2&nbsp;&nbsp; &nbsp;http://npm.hec.gov.pk/<br /> 3&nbsp;&nbsp; &nbsp;http://103.4.92.7/<br /> 4&nbsp;&nbsp; &nbsp;http://pern.edu.pk/<br /> 5&nbsp;&nbsp; &nbsp;http://pu.edu.pk/<br /> 6&nbsp;&nbsp; &nbsp;https://lums.edu.pk/<br /> 7&nbsp;&nbsp; &nbsp;http://www.pieas.edu.pk/<br /> 8&nbsp;&nbsp; &nbsp;http://nust.edu.pk/<br /> 9&nbsp;&nbsp; &nbsp;https://www.neduet.edu.pk/<br /> 10&nbsp;&nbsp; &nbsp;https://salu.edu.pk/ &nbsp;<br /> 11&nbsp;&nbsp; &nbsp;https://szabist.edu.pk/<br /> 12&nbsp;&nbsp; &nbsp;https://numl.edu.pk/<br /> 13&nbsp;&nbsp; &nbsp;https://iub.edu.pk/<br /> 14&nbsp;&nbsp; &nbsp;https://eportal.hec.gov.pk/<br /> 15&nbsp;&nbsp; &nbsp;https://edutv.hec.gov.pk/</span></span></p>  <p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif"">&bull;&nbsp;&nbsp; &nbsp;Product subscription will be done through USSD String<br /> &bull;&nbsp;&nbsp; &nbsp;Offer can only be subscribed if the HEC Taleem Parent offer is already subscribed</span></span></p> ","Dear Customer, to enjoy 20GB all internet access (10GB 2AM– 2PM), 10GB access to HEC Whitelisted websites (24 hrs.) for an entire month in Rs.600(incl.tax) please dial *636#. Status *636*2#"
60,MBB 3 Months 36GB Bundle (50GB Now),50GB/Month(3Month offer),Rs5652.17 (incl Tax) - 3 Month Bundle,Prepaid,50GB/Month(3Month offer),-,*117*15#(3 Months offer),"<p><strong>Important Note:&nbsp;</strong></p>  <ul> 	<li><strong>Bundle is available in MBB section in CSR TB</strong></li> 	<li><strong>Price will be displayed as 0 due to recurrant nature of bundle</strong></li> 	<li><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif""><span style=""color:black"">Rs6500&nbsp;Recharge</span></span></span></li> </ul>  <p>Following are the offer mechanics:<br /> &bull; User can recharge device, subscribe, check status &amp; un-subscribe MBB 3 Month bundle&nbsp;by connecting to Device WIFI and:<br /> o logon to http://jazz.wifi/ or http://192.168.1.1 or use Jazz WIFI app<br /> o Select USSD option, and dial above mentioned strings<br /> &bull; Customer can also use Jazz Cash to recharge his device<br /> &bull; Offer is available for Service Class 62 (MBB SIM) &amp; Service Class 18 (Data SIM)<br /> &bull; Multiple subscriptions of 3 months bundle are not allowed, however, users can simultaneously subscribe to any other bundle<br /> &bull; Volume quota will not be carried forward from one 30 day cycle to another, i.e. any remaining MBs will expire after every cycle.<br /> &bull; In case customer un-subscribes to 3&nbsp;months bundle:<br /> o MBs for current month will remain valid<br /> o MBs for any remaining months will expire<br /> &bull; Internet offers can be subscribed and consumed in 2G, 3G and LTE networks<br /> &bull; PAYG &amp; Overage charging is not allowed on this data price plan. Users have to purchase broadband bundles to access internet<br /> &bull; All bundles are once off &amp; will not auto subscribe, for bundle subscription go to nearest Jazz retailer<br /> &bull; For AJK, above prices are balance amount and not recharge amount required for bundle subscriptions<br /> &bull; Now these bundles are available in Retailer Upsell *964# &amp; MBB Menu *6363#</p> ",-
61,MBB 6 Months 75GB Bundle (100GB Now),100 GB/Month(6 Month Offer),Rs. Rs12173.91(incl Tax) - 6 Month Bundle,Prepaid,100 GB/Month(6 Month Offer),-,*117*16#,"<p><strong>Important Note:&nbsp;</strong></p>  <ul> 	<li><strong>Bundle is available in MBB section in CSR TB</strong></li> 	<li><strong>Price will be displayed as 0 due to recurrant nature of bundle</strong></li> </ul>  <p>Following are the offer mechanics:<br /> &bull; User can recharge device, subscribe, check status &amp; un-subscribe MBB 6&nbsp;Month bundle&nbsp;by connecting to Device WIFI and:<br /> o logon to http://jazz.wifi/ or http://192.168.1.1 or use Jazz WIFI app<br /> o Select USSD option, and dial above mentioned strings<br /> &bull; Customer can also use Jazz Cash to recharge his device<br /> &bull; Offer is available for Service Class 62 (MBB SIM) &amp; Service Class 18 (Data SIM)<br /> &bull; Multiple subscriptions of 6&nbsp;months bundle are not allowed, however, users can simultaneously subscribe to any other bundle<br /> &bull; Volume quota will not be carried forward from one 30 day cycle to another, i.e. any remaining MBs will expire after every cycle.<br /> &bull; In case customer un-subscribes to 6&nbsp;months bundle:<br /> o MBs for current month will remain valid<br /> o MBs for any remaining months will expire<br /> &bull; Internet offers can be subscribed and consumed in 2G, 3G and LTE networks<br /> &bull; PAYG &amp; Overage charging is not allowed on this data price plan. Users have to purchase broadband bundles to access internet<br /> &bull; All bundles are once off &amp; will not auto subscribe, for bundle subscription go to nearest Jazz retailer<br /> &bull; For AJK, above prices are balance amount and not recharge amount required for bundle subscriptions<br /> &bull; Now these bundles are available in Retailer Upsell *964# &amp; MBB Menu *6363#</p>  <p>Recharge Price of 14000</p> ",-
62,MBB Super LBC Offer (Karachi),100GB,"	PKR-/2086.95 bundle incl. tax , Rs2400 Recharge",Prepaid,30 Days,-,*117*80#,"<ul> 	<li>Offer is available for MBB sim (62 class) &amp; Data sim ( 18 class )only</li> 	<li>No Overage &amp; PYG applicable on Dongle or Data SIM.</li> 	<li>Offer can be subscribed from anywhere, however incentive is valid in mentioned areas only. Detailed site list for incentive validity is attached.</li> 	<li>Data allowance can be used on both 2G/3G/4G network subject to Broadband device and network coverage.</li> 	<li>Offer can be subscribed multiple times, incentive would be added and latest validity would be applicable</li> 	<li>User can also subscriber / Unsubscribe to MBB LBC offer through http://jazz.wifi/index.htm or http://192.168.1.1</li> </ul> ",Offer is currently available in Karachi only
67,Monthly Smart-Data SIM,7.5GB (24hr) + 7.5GB (1am-9am)," Rs. 630.43 (inc tax) , Recharge required Rs 725",Prepaid,"30 Days ",24 HRS,*117*35#,"<table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td> 			<p><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif""><span style=""color:black""><strong>Rs628 Recharge</strong> </span></span></span></p>  			<p>&bull; Customer can subscribe these bundles from USSD string and through retailer<br /> 			&bull; It will be a Once Off offer, customer has to re-subscribe to avail this offer again<br /> 			&bull; Multiple Subscriptions will be allowed, and MB quota will add-up and be valid as per latest subscription<br /> 			&bull; These bundles can be subscribed with New Sales Offer (Free Facebook &amp; WhatsApp 4GB for 30days)<br /> 			&bull; In addition to above bundles, customers can also subscribe to other MBB/Data SIM bundles as well. For details: https://shop.jazz.com.pk/4gdevices/<br /> 			&bull; Subscriber will get maximum speed based on &quot;Best efforts&quot; in 2G+3G+4G network<br /> 			&bull; No PYG or Overage rate will be applicable after bundle consumption. Usage will stop on as soon as quota finishes, unless some other bundle is subscribed<br /> 			&bull; Time Based - LNO incentive will have higher priority, i.e. night GBs will be consumed first before any 24hr MBs and can be utilized during 1am-9am<br /> 			&bull; These Tariff Plans are implemented for AJK &amp; Rest of Pakistan<br /> 			&bull; This offer is only for Data SIM customers (SC18), and not available to MBB or other prepaid customers</p> 			</td> 		</tr> 	</tbody> </table> ",Monthly Smart bundle for Data SIMs only
68,weekly Mega-Data SIM,10GB (24hr) + 10GB (1am-9am),"Rs.339.13, Recharge Required Rs. 390",Prepaid,7days,24 HRS,*117*48#,"<table border=""1"" cellspacing=""0""> 	<tbody> 		<tr> 			<td>Offer Mechanics:<br /> 			&bull; Customer can subscribe these bundles from USSD string and through retailer<br /> 			&bull; It will be a Once Off offer, customer has to re-subscribe to avail this offer again<br /> 			&bull; Multiple Subscriptions will be allowed, and MB quota will add-up and be valid as per latest subscription<br /> 			&bull; These bundles can be subscribed with New Sales Offer (Free Facebook &amp; WhatsApp 4GB for 30days)<br /> 			&bull; In addition to above bundles, customers can also subscribe to other MBB/Data SIM bundles as well. For details: https://shop.jazz.com.pk/4gdevices/<br /> 			&bull; Subscriber will get maximum speed based on &quot;Best efforts&quot; in 2G+3G+4G network<br /> 			&bull; No PYG or Overage rate will be applicable after bundle consumption. Usage will stop on as soon as quota finishes, unless some other bundle is subscribed<br /> 			&bull; Time Based - LNO incentive will have higher priority, i.e. night GBs will be consumed first before any 24hr MBs and can be utilized during 1am-9am<br /> 			&bull; These Tariff Plans are implemented for AJK &amp; Rest of Pakistan<br /> 			&bull; This offer is only for Data SIM customers (SC18), and not available to MBB or other prepaid customers</td> 		</tr> 	</tbody> </table> ",Weekly Bundle for Data SIM  only
71,"Weekly YouTube Bundle - Discontinued ",5 GB YouTube,PKR 80.0,Prepaid,7 Days,24/7,*570#,"<p>-&nbsp;&nbsp; &nbsp;Upon subscription of the offer, customer will get 5 GBs data usable only for YouTube<br /> -&nbsp;&nbsp; &nbsp;Bundle will not auto-subscribe and need to be subscribed again upon expiry<br /> -&nbsp;&nbsp; &nbsp;Overage of Rs 2.0 /MB applies after incentive has been exhausted<br /> -&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc.<br /> -&nbsp;&nbsp; &nbsp;If you are not subscribed to any bundle, base rate will be charged i.e. Rs. 5/MB. Charging pulse will be 512 KB</p> ","Upon subscription of the offer, customer will get 5 GBs data usable only for YouTube"
