Complaint ID,Complaint Name,Complaint Description,CheckList,RequiredQuestions,ImportantPoints,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,FAQs
1070,Jazz Adjustment - FNF Related,Handling for the cases where customer claims wrong deduction while calling on FNF numbers.,,,,,"Create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call
 ",,,,
1072,Pre to Post Conversion-DBSS,For prepaid to postpaid conversion guide customer visit Franchise center or Expereince Center,,,,,,,,,
1076,Jazz Adjustment - Wrong Deduction on Calls/SMS-DBSS,"Handling for the cases where customer complaintS wrong deduction while making calls or sending SMS and complaint IS received at backend.
LOV: As per Below table
Team:Prepaid Financial Management
 
 Billing Adjustment/Credit note/Prepaid - Calls 
Billing Adjustment/Credit note/Prepaid - Calls
Billing Adjustment/Credit note/Prepaid - Calls
Billing Adjustment/Credit note/Prepaid - Calls
Billing Adjustment/Credit note/Prepaid - Calls
Billing Adjustment/Credit note/Prepaid - Calls
 Billing Adjustment/Credit note/Prepaid - SMS 
Billing Adjustment/Credit note/Prepaid - SMS
Billing Adjustment/Credit note/Prepaid - SMS
Billing Adjustment/Credit note/Prepaid - SMS
Billing Adjustment/Credit note/Prepaid - SMS
Billing Adjustment/Credit note/Prepaid - SMS",,,,,"Create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call",,,,
1091,Voluntary Blocking (Postpaid/Prepaid),"In case any prepaid/Postpaid customer visits experience center and asks to VOL block his number, Below guidlines will be followed.
 ",,,,,,,,,
1103,"Refund of Sale Return, Post to Pre and Port Out","Incase customer wants to get refund after Sale Return, Post to Pre or Port Out then below process will be followed.","Refund via JazzCash in Mobile Account
Refund via JazzCash on CNIC
Refund via Cash
Refund via Cheque
Refund into another Postpaid number on same CNIC
Refund via Jazz Load",,"Refund via Jazz Load
PO/Cheque:
Refund via Jazz Cash",,,,,,
1105,Live Refund,"In case customer visits to get the advance amount present in his billing account as a bill or deposit ,Live refund is processed.",Refund CheckList (Payment Recevied through Onine Channel),,,,,,,,
1119,Data Overcharging,Handling for the cases where customer claim extra deduction while using data services,"Scenario 1: Data deactive in CSRTB but data session shown
Scenario-2: Delayed/early blocking of data services during incentive usage",,,,,,,,
1125,Tax Certificate Handling,"This process covers scenarios where customers visit front-end office for tax certificate issuance.
 Scenario 1 
Scenario 1
 Promote Self-Service for Tax Certificate 
Promote Self-Service for Tax Certificate
 Scenario 2 
Scenario 2
 Tax Certificate on Customers’ Email Address 
Tax Certificate on Customers’ Email Address
 Scenario 3 
Scenario 3
 Tax Certificate on Lawyers’ Email Address 
Tax Certificate on Lawyers’ Email Address
 Scenario 4 
Scenario 4
 Hard Copy from Experience Centre 
Hard Copy from Experience Centre
 Scenario 5 
Scenario 5
 Interim Tax Certificate 
Interim Tax Certificate","Note: Same CLI condition is NOT mandatory for tax certificates of postpaid/prepaid numbers. However, if the tax certificate needs to be sent to an email address different from the one updated in CRM, the Same CLI is mandatory.",,,Handling DATA SIMs in Jazz World, ,,,,
1127,New Sale Activation-Prepaid CYN (B2C),Customer wanted to purchase a normal new prepaid number OR a prepaid number of his/her choice,"CNIC Sale:
Passport Sale:",,"For Passpport sale:
For Passpport sale:
For Passpport sale:
For Passpport sale:
CSAF form duly filled, having thumb impression & signature of customer and stamp of sales channel from where connection is sold, shall be uploaded  through BVS screen which will appear on BVS screen during relevant activity flow for all cases
CSAF form duly filled, having thumb impression & signature of customer and stamp of sales channel from where connection is sold, shall be uploaded  through BVS screen which will appear on BVS screen during relevant activity flow for all cases
CSAF form duly filled, having thumb impression & signature of customer and stamp of sales channel from where connection is sold, shall be uploaded  through BVS screen which will appear on BVS screen during relevant activity flow for all cases
CSAF form to be uploaded should have (i) thumb impression & signatures of customer (ii) stamped by respective business center /franchise channel
CSAF form to be uploaded should have (i) thumb impression & signatures of customer (ii) stamped by respective business center /franchise channel
CSAF form to be uploaded should have (i) thumb impression & signatures of customer (ii) stamped by respective business center /franchise channel
CSAF form scanned copy print can be used for this purpose if not available however along with above requirements it should include stamp of sales channel
CSAF form scanned copy print can be used for this purpose if not available however along with above requirements it should include stamp of sales channel
CSAF form scanned copy print can be used for this purpose if not available however along with above requirements it should include stamp of sales channel
We need to ensure that proper scanned documents should be uploaded against relevant document option i.e. Passport,  VISA & CSAF for sale activation/visa expiry updated against foreign citizens
We need to ensure that proper scanned documents should be uploaded against relevant document option i.e. Passport,  VISA & CSAF for sale activation/visa expiry updated against foreign citizens
We need to ensure that proper scanned documents should be uploaded against relevant document option i.e. Passport,  VISA & CSAF for sale activation/visa expiry updated against foreign citizens
For POC Sale activation/ Expiry extension, Passport and POC Card Front/back to be uploaded in Passport and VISA field respectively in addition to signed CSAF form
For POC Sale activation/ Expiry extension, Passport and POC Card Front/back to be uploaded in Passport and VISA field respectively in addition to signed CSAF form
For POC Sale activation/ Expiry extension, Passport and POC Card Front/back to be uploaded in Passport and VISA field respectively in addition to signed CSAF form
We need to ensure that Name, Father name, Address, City Name, Citizen ship & Visa Expiry should be properly updated with valid details/documents 
We need to ensure that Name, Father name, Address, City Name, Citizen ship & Visa Expiry should be properly updated with valid details/documents 
We need to ensure that Name, Father name, Address, City Name, Citizen ship & Visa Expiry should be properly updated with valid details/documents 
Original physical documents scanned copies (CSAF, Passport, POC Card /Visa) should be retained in record
Original physical documents scanned copies (CSAF, Passport, POC Card /Visa) should be retained in record
Sale/relevant request approval through Shop after proper validation (data , VISA Expiry & valid documents uploading) will be the responsibility of Business center team leader at Business Center Channel and Regional support team in case of Franchise Channel
Sale/relevant request approval through Shop after proper validation (data , VISA Expiry & valid documents uploading) will be the responsibility of Business center team leader at Business Center Channel and Regional support team in case of Franchise Channel
Sale/relevant request approval through Shop after proper validation (data , VISA Expiry & valid documents uploading) will be the responsibility of Business center team leader at Business Center Channel and Regional support team in case of Franchise Channel
Sale need to be rejected through approver window in case complete details/valid documents are not updated while BVS sale activation with complete remarks
Sale need to be rejected through approver window in case complete details/valid documents are not updated while BVS sale activation with complete remarks
Sale need to be rejected through approver window in case complete details/valid documents are not updated while BVS sale activation with complete remarks
Address & City Name should be updated details at BVS as per customer residential details in Pakistan whereas Citizenship details to be updated as per Passport document
Address & City Name should be updated details at BVS as per customer residential details in Pakistan whereas Citizenship details to be updated as per Passport document
Address & City Name should be updated details at BVS as per customer residential details in Pakistan whereas Citizenship details to be updated as per Passport document
For Passport New sale CD pack (Prepaid &  Dongle) sale need to be activated from same sale location/ID
For Passport New sale CD pack (Prepaid &  Dongle) sale need to be activated from same sale location/ID
For Passport New sale CD pack (Prepaid &  Dongle) sale need to be activated from same sale location/ID
For VISA Expiry update and number resumption,  we will select “Expiry Extension” from CSRTB screen and will update complete documents after confirming VISA expiry is as per uploaded document
For VISA Expiry update and number resumption,  we will select “Expiry Extension” from CSRTB screen and will update complete documents after confirming VISA expiry is as per uploaded document
For VISA Expiry update and number resumption,  we will select “Expiry Extension” from CSRTB screen and will update complete documents after confirming VISA expiry is as per uploaded document
Number suspended on VISA expiry will be resumed once request is approved by BC team leader through approver window
Number suspended on VISA expiry will be resumed once request is approved by BC team leader through approver window
Number suspended on VISA expiry will be resumed once request is approved by BC team leader through approver window
Sale activation through CSRTB is to be done after proper validation of data & documents and will be the responsibility of Business center team leader at business center channel
Sale activation through CSRTB is to be done after proper validation of data & documents and will be the responsibility of Business center team leader at business center channel
Sale activation through CSRTB is to be done after proper validation of data & documents and will be the responsibility of Business center team leader at business center channel
For any operational issue, please raise it with IT-CRM OPS team along with complete details as per existing process
For any operational issue, please raise it with IT-CRM OPS team along with complete details as per existing process
For any operational issue, please raise it with IT-CRM OPS team along with complete details as per existing process
For all Visa Expiry Extension handling at Business Center, we need to ensure below process checklist already communicated to be followed:
For all Visa Expiry Extension handling at Business Center, we need to ensure below process checklist already communicated to be followed:
For all Visa Expiry Extension handling at Business Center, we need to ensure below process checklist already communicated to be followed:
BCE will first check customer number in CSRTB and if details exists updated required documents will be uploaded in CSRTB as per Foreign Citizen or POC Card case
BCE will first check customer number in CSRTB and if details exists updated required documents will be uploaded in CSRTB as per Foreign Citizen or POC Card case
BCE will first check customer number in CSRTB and if details exists updated required documents will be uploaded in CSRTB as per Foreign Citizen or POC Card case
In addition once TL approves the documents in CSRTB, restoration of number will be processed accordingly in CSRTB where required
In addition once TL approves the documents in CSRTB, restoration of number will be processed accordingly in CSRTB where required
In addition once TL approves the documents in CSRTB, restoration of number will be processed accordingly in CSRTB where required
We need to ensure that all new Jazz Passport Sale (Prepaid/Postpaid & Dongle) should be activated through new developed functionality at BVS only. We should not process any new passport sale through existing process.
We need to ensure that all new Jazz Passport Sale (Prepaid/Postpaid & Dongle) should be activated through new developed functionality at BVS only. We should not process any new passport sale through existing process.
We need to ensure that all new Jazz Passport Sale (Prepaid/Postpaid & Dongle) should be activated through new developed functionality at BVS only. We should not process any new passport sale through existing process.
 Jazz Numbers Price Policy 
Jazz Numbers Price Policy
Jazz Numbers Price Policy
Jazz Numbers Price Policy
Jazz Numbers Price Policy
Jazz already has categorized all numbers and defined prices against each category as per number definition. Now Jazz have implemented new pricing against all vanities/categories in systems as per revised approved prices.
Jazz already has categorized all numbers and defined prices against each category as per number definition. Now Jazz have implemented new pricing against all vanities/categories in systems as per revised approved prices.
Jazz already has categorized all numbers and defined prices against each category as per number definition. Now Jazz have implemented new pricing against all vanities/categories in systems as per revised approved prices.
Jazz already has categorized all numbers and defined prices against each category as per number definition. Now Jazz have implemented new pricing against all vanities/categories in systems as per revised approved prices.
Following are the prominent features of approved policy:
Following are the prominent features of approved policy:
Following are the prominent features of approved policy:
Following are the prominent features of approved policy:
This revised pricing policy is effective for postpaid & prepaid numbers which will be sold through all channels.
This revised pricing policy is effective for postpaid & prepaid numbers which will be sold through all channels.
This revised pricing policy is effective for postpaid & prepaid numbers which will be sold through all channels.
The FOC approvals are revoked from all authorities and now there will be NO FOC for Numbers as per revised policy
The FOC approvals are revoked from all authorities and now there will be NO FOC for Numbers as per revised policy
The FOC approvals are revoked from all authorities and now there will be NO FOC for Numbers as per revised policy
There will be no separate quota for any department and all numbers will be sold on Cash as per existing processes
There will be no separate quota for any department and all numbers will be sold on Cash as per existing processes
There will be no separate quota for any department and all numbers will be sold on Cash as per existing processes
IR (data + voice) will be automatically activated on new sale prepaid",,,,,,How to active your eSIM
1143,Prepaid Call Details Extraction Facility-DBSS,"Incase Prepaid customer want to have prepaid number call details, guide customer to visit Jazz experience center for assistance",,,,,,,,,
2131,Obnoxious Call & SMS Handling,Cases where obnoxious complaint is received at backend ," 
Acknowledge Time: Immediate",,"Fraudulent/Obnoxious/ & Spammer Handling
Fraudulent Calls & SMS:",,,In Case Of 2nd Complaint: Make case in super office.,,,
2139,Postpaid Bill Payment through Scratch Card & OTAR,Cases where postpaid customer wants to make bill payment of the number via scratch card or Jazz load & contacts any of the channels for assistance.,,,"Complaint Acknowledgement Time
Postpaid Bill Payment through Scratch Card & OTAR/Payment made however not update in Ledger:    24 hours
 
TAT at Frontend (Jazz)
Postpaid Bill Payment through Scratch Card & OTAR/Payment made however not update in Ledger:    12 Hours for SMS intimation ( Cut off time is 6PM)",,,,,,
2143,Change of Address(Pre/Post),We will follow below guidelines if customer wants to change their postal address,,,Billing Handling Code Verifications:,,,,,,
2149,Win back Handling,The handling covers winback customers claim when they contact on any of the touch points,,,,,,,,,
2151,Response for MNP to 667  Handling,"This process covers cases where customer is facing issue in receiving response from MNP short code (667) or 76300.
SMS Charges: Rs. 2+tax charges.",,,"Note: For all other Port In/Out Mechanics, Checklist and Handing will remain the same.","76300 Response Issue: 
Important Points: 
Note: Handset in DIRBS blocked handset check is no more applicable.
Note: Handset in DIRBS blocked handset check is no more applicable.
Note: Handset in DIRBS blocked handset check is no more applicable.
Note: Handset in DIRBS blocked handset check is no more applicable.
Note:
Note:
Note:
Note:
 Handset in DIRBS blocked handset check is no more applicable.
 Handset in DIRBS blocked handset check is no more applicable.
 Handset in DIRBS blocked handset check is no more applicable.
 Handset in DIRBS blocked handset check is no more applicable.","Probing Checklist: 
Error message: Not Sent / Sending failed – Need to check with different handset/settings
Not Sent / Sending failed
Cases where SMS is successfully sent from customer number, but response not received will be escalated to MNP team via Super Office: Creator Tab → MNP Port-Out Complaint → No reply from 667
Important Points:
“Dear Subscriber, kindly settle your Advance Loan to receive the prescribed message reply. Thank you”
Note: Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
Note: Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
Note: Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
Note: Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
Note:
Note:
Note:
Note:
 Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
 Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
 Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”
 Customer can now receive immediate response after clearing their Jazz Advance. Where Jazz Loan Debt is not deactivated after loan clearance, then the case should be escalated to the MNP team under the reason “NO Reply from 667”",,,,
2156,Marketing Call & SMS/SMS Advertiser,Cases where customer contact any of the following touch points and wish to enable or disable marketing calls/SMS received from Jazz,We can offer SMS Marketing product to customers asking for SMS broadcast tools. They can visit Experience Centers for further details,,,,,,,,
2158,Postpaid ISD Activation / Deactivation,when customer requests for ISD activation / deactivation or faces any issue in activation / deactivation of the service and contact any of the touch points.,,,,,,,,,
